GEOID10,ACCESS2_CrudePrev,BINGE_CrudePrev,CASTHMA_CrudePrev,CHD_CrudePrev,CSMOKING_CrudePrev,DIABETES_CrudePrev,LPA_CrudePrev,MHLTH_CrudePrev,"1,3-butadiene",Acetaldehyde,Benzene,Carbon tetrachloride,Diesel Particulate Matter,Ethylene oxide,Formaldehyde,Napthalene,Severe_Housing_Problems,Housing_Cost_Burden,Total_households_with_internet,Unemploymen_ rate,Median_income
17031020200,8.4,15.9,8.7,5.1,12.1,10.3,24.9,12.5,0.02,0.61,0.32,0.52,0.39,0.0,0.9,0.02,145,125,1999,8.5,120192
17031150800,15.7,19.5,9.0,4.1,13.7,8.7,27.2,14.2,0.03,0.63,0.36,0.52,0.59,0.0,0.95,0.03,155,75,1505,6.4,89707
17031151100,15.1,17.9,9.3,5.3,15.4,10.5,29.8,14.9,0.03,0.62,0.35,0.52,0.48,0.0,0.93,0.03,145,135,1531,2.2,82734
17031230100,16.2,18.8,9.3,3.5,12.6,9.6,28.1,14.9,0.02,0.64,0.34,0.52,0.57,0.0,0.95,0.04,70,65,589,4.5,108456
17031160100,10.2,18.3,8.9,4.6,13.2,9.1,24.8,13.4,0.03,0.63,0.36,0.52,0.56,0.0,0.94,0.03,140,65,908,1.2,112292
17031160200,7.6,19.9,8.4,3.7,10.5,7.4,20.2,12.2,0.03,0.63,0.37,0.52,0.64,0.0,0.95,0.03,25,55,1196,2.7,166250
17031160400,12.4,20.0,8.7,3.7,12.9,8.2,24.5,13.6,0.03,0.63,0.37,0.52,0.64,0.0,0.95,0.03,180,120,1894,5.5,79258
17031310600,21.2,18.6,9.1,4.2,13.5,11.0,31.3,15.2,0.03,0.7,0.52,0.52,1.33,0.0,0.98,0.05,115,275,2029,4.9,99552
17031310900,26.9,18.2,9.5,4.4,16.0,11.7,35.9,16.6,0.02,0.66,0.37,0.52,0.73,0.0,0.99,0.05,90,260,1766,7.5,68529
17031320400,5.7,24.9,10.1,1.1,6.1,2.3,14.4,18.6,0.03,0.69,0.52,0.52,1.4,0.0,0.98,0.04,35,35,708,8.9,225588
17031061500,3.9,26.7,8.5,1.5,6.0,2.7,11.3,13.2,0.02,0.62,0.34,0.52,0.61,0.0,0.93,0.03,45,55,876,1.5,168594
17031320600,4.4,21.4,8.6,2.2,6.8,4.9,14.8,13.0,0.03,0.7,0.51,0.52,1.4,0.0,0.98,0.04,90,370,3385,4.7,198273
17031740300,5.1,21.9,8.5,3.9,10.6,6.3,17.6,12.5,0.02,0.64,0.33,0.52,0.4,0.0,0.92,0.02,50,0,1827,6.2,162222
17031660700,15.8,12.9,13.2,6.8,25.4,18.5,42.0,19.4,0.02,0.68,0.33,0.52,0.49,0.0,0.97,0.02,105,70,438,33.8,34750
17031222700,17.3,20.0,9.0,3.3,13.5,8.9,28.3,14.9,0.02,0.64,0.35,0.52,0.55,0.0,0.95,0.04,50,35,758,2.7,88235
17031221200,8.4,23.5,8.3,2.0,8.7,5.0,17.7,13.0,0.02,0.64,0.35,0.52,0.58,0.0,0.95,0.04,30,110,1234,3.3,126092
17031160700,13.0,18.5,8.3,4.3,11.4,9.2,25.7,12.6,0.03,0.63,0.36,0.52,0.63,0.0,0.94,0.03,135,205,2200,3.7,108638
17031222200,4.7,25.4,8.0,1.6,7.1,3.4,12.7,12.1,0.02,0.64,0.34,0.52,0.6,0.0,0.95,0.04,15,20,1008,1.2,"250,000"
17031340500,14.9,12.1,9.4,9.4,18.1,19.1,39.6,14.9,0.03,0.66,0.43,0.52,1.03,0.0,0.93,0.04,50,105,831,2.8,-
